Index,NumStory,SeismicWeight,Area,LongDim,ShortDim,LongWall,ShortWall,DampingRatio,StoryHeight,1st Mode,2nd Mode,Xpeakstrength,Xdrift@peakstrength,Xdrift@80%peakstrength,Xdrift@20%residualstrength,Zpeakstrength,Zdrift@peakstrength,Zdrift@80%peakstrength,Zdrift@20%residualstrength
Building_T1-100x30-S3-GS_Existing9,3,579.464,6000,1200,360,10498.25,6370.5,0.042947526,10.44015734,0.464488506,0.380720596,0.259203058,0.00337217,0.00188603,0.0125611,0.146455126,0.0023408,0.00127318,0.00274824
Building_T1-100x30-S3-GS_Existing10,3,617.613,6000,1200,360,10498.25,6370.5,0.028438119,11.44128207,0.566871815,0.464439141,0.195506166,0.00344782,0.00190247,0.0123238,0.109433718,0.0023351,0.00127698,0.00265736
Building_T1-60x30-S2-PS_Existing1,2,228.019,1800,720,360,4033.5,3642.25,0.044031626,10.57435319,0.525012012,0.435076065,0.144671286,0.00535417,0.00326111,0.0310494,0.138978596,0.00357543,0.00184332,0.00370307
Building_T1-60x30-S2-PS_Existing2,2,238.413,1800,720,360,4033.5,3642.25,0.032962854,9.649384436,0.390157844,0.323909528,0.277870263,0.00616942,0.00381104,0.0422016,0.269292101,0.00428408,0.00226682,0.00485421
Building_T1-60x30-S2-PS_Existing3,2,263.666,1800,720,360,4033.5,3642.25,0.039423462,11.83201473,0.60540023,0.501862427,0.107629581,0.00480625,0.00290397,0.025768,0.102972121,0.00315091,0.00160317,0.00313376
Building_T1-60x30-S2-PS_Existing4,2,222.286,1800,720,360,4033.5,3642.25,0.038800978,9.302790806,0.472742632,0.391607848,0.132317496,0.00457148,0.00278371,0.0273285,0.127279167,0.00303724,0.00155834,0.00321683
Building_T1-60x30-S2-PS_Existing5,2,233.286,1800,720,360,4033.5,3642.25,0.015118325,9.247183197,0.369563204,0.306780798,0.265726353,0.00545908,0.00338583,0.0373814,0.257798387,0.00384174,0.00205252,0.00438499
Building_T1-60x30-S2-PS_Existing6,2,215.062,1800,720,360,4033.5,3642.25,0.029890787,9.454649456,0.403065364,0.334015615,0.221970613,0.00533576,0.00328578,0.0362875,0.214870735,0.00364542,0.0019057,0.00410672
Building_T1-60x30-S2-PS_Existing7,2,231.902,1800,720,360,4033.5,3642.25,0.024656304,10.14515455,0.414782036,0.344384128,0.226589728,0.00541585,0.00334117,0.0367405,0.219392837,0.00375479,0.00198465,0.00421232
Building_T1-60x30-S2-PS_Existing8,2,249.23,1800,720,360,4033.5,3642.25,0.015762452,10.01984848,0.491195795,0.407255397,0.126625671,0.0043106,0.00263422,0.0258295,0.121849301,0.00290183,0.00150489,0.00304967
Building_T1-60x30-S2-PS_Existing9,2,242.171,1800,720,360,4033.5,3642.25,0.019332643,10.53858351,0.401228469,0.332843317,0.253062043,0.00539578,0.00333529,0.0370881,0.245371704,0.00374607,0.00198021,0.00426886
Building_T1-60x30-S2-PS_Existing10,2,249.899,1800,720,360,4033.5,3642.25,0.027215547,11.59461095,0.4106472,0.340074446,0.229187268,0.00462442,0.0028557,0.032069,0.222364084,0.00317211,0.00166044,0.00365346
Building_T1-60x30-S3-PS_Existing1,3,422.199,3600,720,360,6351.5,6071,0.020792407,10.29525681,0.571962579,0.477132272,0.120135429,0.00341444,0.00210149,0.0177359,0.115330707,0.00299836,0.00149537,0.00282363
Building_T1-60x30-S3-PS_Existing2,3,402.288,3600,720,360,6351.5,6071,0.015244547,11.47969861,0.675568911,0.563469283,0.104954883,0.00369311,0.00225716,0.0175484,0.100252662,0.00315873,0.00156566,0.00284671
Building_T1-60x30-S3-PS_Existing3,3,363.817,3600,720,360,6351.5,6071,0.01457355,9.138790227,0.582636471,0.48579008,0.127854479,0.00426899,0.00261404,0.0208193,0.122259328,0.00362582,0.00180236,0.00331888
Building_T1-60x30-S3-PS_Existing4,3,390.385,3600,720,360,6351.5,6071,0.048282029,10.79569085,0.644710877,0.537568945,0.099157539,0.00343133,0.00209717,0.0164693,0.094749355,0.00290513,0.00144099,0.00263486
Building_T1-60x30-S3-PS_Existing5,3,395.968,3600,720,360,6351.5,6071,0.026870307,11.587044,0.489167993,0.408571578,0.145082885,0.00263616,0.00164457,0.0161146,0.140420938,0.00240679,0.00121541,0.00241169
Building_T1-60x30-S3-PS_Existing6,3,398.303,3600,720,360,6351.5,6071,0.044890811,10.54359702,0.704644529,0.586846435,0.077301376,0.00327437,0.00198462,0.0144094,0.073526263,0.00258298,0.00130111,0.00226459
Building_T1-60x30-S3-PS_Existing7,3,404.547,3600,720,360,6351.5,6071,0.024769796,10.7268948,0.558143415,0.465780607,0.152446228,0.00394986,0.00244423,0.0213778,0.146594638,0.00344752,0.00172167,0.00329255
Building_T1-60x30-S3-PS_Existing8,3,428.442,3600,720,360,6351.5,6071,0.030696219,11.90256975,0.586584501,0.48979807,0.102978186,0.00262461,0.00162419,0.0142233,0.099070329,0.00233612,0.00116607,0.00222846
Building_T1-60x30-S3-PS_Existing9,3,375.124,3600,720,360,6351.5,6071,0.038992477,9.046482727,0.673405444,0.561115898,0.090306509,0.00407028,0.00245358,0.017288,0.085808549,0.00327817,0.00164853,0.00281823
Building_T1-60x30-S3-PS_Existing10,3,402.162,3600,720,360,6351.5,6071,0.027993405,9.911800038,0.461112127,0.384985802,0.166140824,0.00319666,0.00199005,0.0192222,0.160660042,0.00288401,0.00144735,0.00288474
Building_T1-100x30-S2-PS_Existing1,2,377.941,3000,1200,360,6450.75,4057,0.027446159,10.84095496,0.560129741,0.4257484,0.15679079,0.00409312,0.00253287,0.0264948,0.076609148,0.00426669,0.00182572,0.0238546
Building_T1-100x30-S2-PS_Existing2,2,376.413,3000,1200,360,6450.75,4057,0.027594701,11.46242371,0.386266972,0.294508882,0.329614519,0.00379816,0.00238077,0.0259784,0.170780281,0.00402274,0.00196074,0.0250463
Building_T1-100x30-S2-PS_Existing3,2,385.112,3000,1200,360,6450.75,4057,0.01817607,11.95073558,0.429385422,0.326953006,0.258551035,0.00359771,0.00224866,0.0245194,0.1327889,0.00379788,0.00181878,0.0234497
Building_T1-100x30-S2-PS_Existing4,2,345.966,3000,1200,360,6450.75,4057,0.028417944,9.72587372,0.481146897,0.366042994,0.243658677,0.00521782,0.00324309,0.0350192,0.121442763,0.00546269,0.00244376,0.0324431
Building_T1-100x30-S2-PS_Existing5,2,343.897,3000,1200,360,6450.75,4057,0.017166975,9.142172578,0.380985835,0.290030191,0.368626397,0.00523659,0.00327246,0.0359708,0.189008854,0.00551014,0.00259954,0.0343316
Building_T1-100x30-S2-PS_Existing6,2,388.7,3000,1200,360,6450.75,4057,0.032557536,11.84191071,0.459970135,0.3501969,0.295136403,0.00473912,0.002959,0.0321602,0.150327857,0.00499172,0.00234506,0.030505
Building_T1-100x30-S2-PS_Existing7,2,368.509,3000,1200,360,6450.75,4057,0.038616997,9.64120404,0.465758724,0.35401615,0.271066894,0.00556615,0.00346172,0.0374743,0.135608441,0.00583077,0.00263018,0.0348843
