,Latitude,Longitude,Story,Type,Material,Dimension,Area,Index,Num_Units,RepairCost
175,34.05872,-118.19655,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,18400.06288121963
176,34.10705,-118.19657,2,L1,GWB,60X30,3600.0,L1-2S-60X30-GWB,4,26757.346943924214
177,34.05862,-118.19668,3,L3,GWB,80X30,7200.0,L3-3S-80X30-GWB,7,39353.17392900681
178,34.10362,-118.19672,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,19689.475116997233
179,34.05893,-118.19705,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,28109.08123359903
180,34.1124,-118.19718,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,36851.725590160524
181,34.11182,-118.19731999999999,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,30163.681438187796
182,34.10545,-118.19741,2,L1,GWB,100X30,6000.0,L1-2S-100X30-GWB,6,37209.01923830044
183,34.04255,-118.19742,3,L1,GWB,60X30,5400.0,L1-3S-60X30-GWB,5,30015.134813283727
184,34.05956,-118.19743999999999,3,L4,GWB,100X50,15000.0,L4-3S-100X50-GWB,15,63097.16008618654
185,34.12039,-118.1977,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,18398.830314033432
186,34.10935,-118.1978,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,32535.714389707326
187,34.10623,-118.19793,2,L4,GWB,100X50,10000.0,L4-2S-100X50-GWB,10,56386.7560879339
188,34.0229,-118.19811000000001,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,18675.54961623969
189,34.10931,-118.1983,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,36673.34796931778
190,34.10952,-118.19843999999999,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,33932.20003437169
191,34.10542,-118.19845,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,21153.47582420027
192,34.107079999999996,-118.19846000000001,2,L2,GWB,60X50,6000.0,L2-2S-60X50-GWB,6,32316.54942693235
193,34.05284,-118.19848,2,L4,GWB,100X50,10000.0,L4-2S-100X50-GWB,10,57795.44003146494
194,34.04688,-118.19853,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,54947.55338856059
195,34.13977,-118.19882,2,L1,GWB,100X30,6000.0,L1-2S-100X30-GWB,6,39971.17360181258
196,34.02407,-118.19936000000001,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,18411.39543757882
197,34.07074,-118.19958999999999,3,L3,HWS,80X30,7200.0,L3-3S-80X30-HWS,7,41465.84134677943
198,34.03863,-118.19991999999999,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,34523.33081324669
199,34.10402,-118.20022,3,L4,GWB,60X50,9000.0,L4-3S-60X50-GWB,9,55470.19339241505
200,34.0518,-118.20035,2,L1,HWS,60X30,3600.0,L1-2S-60X30-HWS,4,27622.670372851364
201,34.06963,-118.20043000000001,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,58733.55096327513
202,34.03179,-118.20051000000001,3,L4,GWB,60X50,9000.0,L4-3S-60X50-GWB,9,58658.784426459395
203,34.03937,-118.20055,2,L1,HWS,100X30,6000.0,L1-2S-100X30-HWS,6,40048.35189669768
204,34.10329,-118.20058,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,37846.3254370392
205,34.05045,-118.20071000000002,2,L4,GWB,100X50,10000.0,L4-2S-100X50-GWB,10,60050.454996031884
206,34.04998,-118.20081,3,L3,GWB,80X30,7200.0,L3-3S-80X30-GWB,7,37413.18005845625
207,34.106629999999996,-118.20106000000001,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,40937.11181655577
208,34.04553,-118.20107,2,L1,HWS,100X30,6000.0,L1-2S-100X30-HWS,6,35833.060901020865
209,34.10711,-118.20121,3,L3,HWS,80X30,7200.0,L3-3S-80X30-HWS,7,41827.9233149589
210,34.05005,-118.20121999999999,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,63363.67124049841
211,34.04289,-118.20126,3,L4,GWB,60X50,9000.0,L4-3S-60X50-GWB,9,50158.30108598295
212,34.109790000000004,-118.20152,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,32271.474338873682
213,34.1217,-118.20182,2,L1,HWS,60X30,3600.0,L1-2S-60X30-HWS,4,24659.55537429597
