Index,Xpeakstrength,Zpeakstrength
Building_T4-60x50-S2-GS_Existing8,0.284791744,0.362879348
Building_T4-60x50-S2-GS_Existing9,0.238704146,0.304501567
Building_T4-60x50-S2-GS_Existing10,0.330177465,0.41969109
Building_T4-60x50-S3-GS_Existing1,0.208050544,0.265640384
Building_T4-60x50-S3-GS_Existing2,0.187878812,0.240022275
Building_T4-60x50-S3-GS_Existing3,0.096503149,0.123729337
Building_T4-60x50-S3-GS_Existing4,0.150508323,0.192976212
Building_T4-60x50-S3-GS_Existing5,0.154608219,0.197548175
Building_T4-60x50-S3-GS_Existing6,0.10724408,0.137855617
Building_T4-60x50-S3-GS_Existing7,0.217179062,0.277276326
Building_T4-60x50-S3-GS_Existing8,0.226372284,0.288527179
Building_T4-60x50-S3-GS_Existing9,0.123848192,0.159436954
Building_T4-60x50-S3-GS_Existing10,0.233511415,0.297352235
Building_T4-100x50-S2-GS_Existing1,0.385144655,0.303523364
Building_T4-100x50-S2-GS_Existing2,0.241978938,0.189945122
Building_T4-100x50-S2-GS_Existing3,0.204660364,0.159974212
Building_T4-100x50-S2-GS_Existing4,0.358999337,0.282596263
Building_T4-100x50-S2-GS_Existing5,0.262933324,0.205931037
Building_T4-100x50-S2-GS_Existing6,0.448335011,0.353685431
Building_T4-100x50-S2-GS_Existing7,0.231330082,0.181100181
Building_T4-100x50-S2-GS_Existing8,0.421535639,0.33181805
Building_T4-100x50-S2-GS_Existing9,0.408080658,0.321095636
Building_T4-100x50-S2-GS_Existing10,0.199308207,0.155724935
Building_T4-100x50-S3-GS_Existing1,0.24484299,0.192124192
Building_T4-100x50-S3-GS_Existing2,0.273635755,0.214630704
Building_T4-100x50-S3-GS_Existing3,0.251260487,0.196856604
Building_T4-100x50-S3-GS_Existing4,0.19264438,0.150354171
Building_T4-100x50-S3-GS_Existing5,0.265906731,0.208643529
Building_T4-100x50-S3-GS_Existing6,0.156846675,0.122105363
Building_T4-100x50-S3-GS_Existing7,0.214258317,0.167813829
Building_T4-100x50-S3-GS_Existing8,0.262747655,0.206016864
Building_T4-100x50-S3-GS_Existing9,0.141545331,0.11008237
Building_T4-100x50-S3-GS_Existing10,0.125393208,0.097628199
Building_T4-60x50-S2-PS_Existing1,0.291521554,0.308837304
Building_T4-60x50-S2-PS_Existing2,0.251663556,0.266623859
Building_T4-60x50-S2-PS_Existing3,0.309190147,0.327515043
Building_T4-60x50-S2-PS_Existing4,0.172632857,0.182939308
Building_T4-60x50-S2-PS_Existing5,0.16215167,0.171842872
Building_T4-60x50-S2-PS_Existing6,0.197755506,0.209514042
Building_T4-60x50-S2-PS_Existing7,0.2544451,0.269532492
Building_T4-60x50-S2-PS_Existing8,0.292357962,0.309717891
Building_T4-60x50-S2-PS_Existing9,0.1490208,0.157907689
Building_T4-60x50-S2-PS_Existing10,0.188596556,0.199856709
Building_T4-60x50-S3-PS_Existing1,0.137412085,0.145619698
Building_T4-60x50-S3-PS_Existing2,0.129864739,0.137643326
Building_T4-60x50-S3-PS_Existing3,0.078508148,0.083225202
Building_T4-60x50-S3-PS_Existing4,0.162557558,0.17228459
