Latitude,Longitude,Story,Type,SMS
34.06388,-118.25692,,,2.512
34.02208,-118.25702,2,FWL4,2.174
33.97202,-118.25708,,,1.869
34.12053,-118.25709,,,2.899
34.02001,-118.25715,,,2.158
34.07357,-118.25769,,,2.603
34.01153,-118.25795,2,,2.092
34.01123,-118.25795,,,2.089
34.11651,-118.25802,,,2.892
33.99733,-118.2582,2,FWL3,1.989
34.06536,-118.25821,3,,2.523
34.02486,-118.25829,2,FWL4,2.191
33.99732,-118.25841,2,FWL3,1.989
33.78357,-118.25858,2,,1.682
34.07238,-118.25859,,,2.589
33.78414,-118.25863,,,1.68
34.07536,-118.25873,,,2.617
34.07214,-118.25874,,,2.586
33.9313,-118.25875,,,1.729
34.11898,-118.25876,,,2.896
34.0988,-118.25888,,,2.839
34.09788,-118.25888,,,2.83
34.09754,-118.25888,,,2.827
34.10533,-118.25889,,,2.863
34.11531,-118.25904,,,2.886
34.07171,-118.25915,,,2.581
34.0197,-118.25917,2,,2.15
33.78326,-118.25918,,,1.683
34.01983,-118.25927,2,FWL4,2.151
33.78402,-118.25927,,,1.68
33.78523,-118.25933,2,,1.677
34.10588,-118.25937,,,2.863
33.93126,-118.25944,,,1.728
34.09917,-118.25952,,,2.84
34.09897,-118.25954,,,2.838
34.02223,-118.25956,2,,2.168
33.93072,-118.25957,,,1.727
34.09856,-118.25958,,,2.834
34.09732,-118.25958,,,2.823
34.09883,-118.25959,,,2.837
34.09842,-118.25961,,,2.833
34.07209,-118.25963,3,,2.583
34.07117,-118.25963,2,,2.574
34.01894,-118.25966,2,FWL4,2.144
34.02176,-118.25968,2,,2.165
34.02672,-118.25981,2,FWL4,2.201
34.11601,-118.25985,,,2.886
34.10569,-118.25994,2,,2.861
34.11612,-118.25995,,,2.886
34.01028,-118.26012,3,,2.077
33.99956,-118.26015,2,,1.996
34.07889,-118.26016,,,2.646
34.09298,-118.26026,2,,2.78
34.0611,-118.26029,,,2.475
34.10507,-118.26031,,,2.858
34.09188,-118.26032,2,,2.769
34.10607,-118.26036,,,2.86
34.0905,-118.26042,3,,2.756
34.09048,-118.26043,2,,2.756
34.09048,-118.26043,2,,2.756
34.09048,-118.26043,2,,2.756
34.00052,-118.2605,2,,2.002
34.10769,-118.26058,,,2.864
34.11492,-118.26072,,,2.88
34.1168,-118.26077,,,2.885
34.09257,-118.26083,3,,2.774
33.93132,-118.26091,,,1.727
33.77997,-118.26111,2,,1.69
33.77997,-118.26111,2,,1.69
33.77997,-118.26111,2,,1.69
33.77997,-118.26111,2,,1.69
33.77997,-118.26115,2,,1.69
34.05972,-118.26133,,,2.459
34.05916,-118.26147,,,2.453
34.05893,-118.26157,,,2.45
33.77287,-118.26164,2,,1.708
34.02127,-118.2618,,,2.155
34.06621,-118.26183,,,2.52
34.07943,-118.26192,2,,2.646
34.05693,-118.26213,,,2.429
34.11547,-118.26222,,,2.877
34.00947,-118.26227,2,,2.066
34.02354,-118.2624,,,2.171
34.06553,-118.26244,2,,2.511
34.02556,-118.26244,2,FWL4,2.185
33.77507,-118.26244,3,,1.702
33.9677,-118.26245,2,FWL4,1.843
