Existing,Ordinance,Algorithm
322581.9541,54839.32994,113550.0769
903823.4005,224775.076,349996.3481
692152.9056,137620.0545,294501.4184
1044830.46,233936.2495,563971.2509
946002.7413,220719.5257,444015.69
651054.1214,130813.969,299550.9721
4802612.624,1457418.209,3367805.011
2497182.006,562521.6263,1275016.395
4789265.411,1341722.784,2704436.34
8545942.764,2849058.922,4497490.498
4661833.224,1147142.9,2444172.899
9368248.898,2804065.491,5410364.895
2062636.142,526202.1024,964538.5775
2978548.432,772160.0579,1756493.252
2920885.042,765384.9874,1594960.494
1947826.562,457634.8359,810008.4187
5135293.343,1388345.252,3224922.385
5917696.278,1698589.253,3964002.122
4843714.339,1272418.551,2375086.341
2505650.307,679703.8428,1431538.951
2160793.873,496212.2307,1149690.032
2967985.589,715416.11,1262982.063
2727447.623,656347.9087,1463202.556
6701832.995,1773456.594,3817293.547
5642725.385,1491379.346,2986875.384
5067621.186,1414111.903,2406390.712
1802152.898,387509.5527,853062.9936
8658034.763,2812658.279,5958417.463
3922271.772,999635.3678,1955569.671
7505129.119,2545501.505,4244110.229
7539922.392,2003680.258,4195549.133
13006885.74,3915011.297,6723389.699
195045354.4,82475601.82,127309779.8
225292511.8,97277272.36,151068205.5
336239938,159065402,245171220.5
327270850.1,148845457,235012501.5
403225489,184309795.6,284663299.3
374150027.1,170642920.7,263827559.9
403737340.5,180571290.6,286658003.9
502188577.7,238087820.6,365055283.9
351025318.3,160217830.4,247395728.1
385179463.5,184638792.4,276836584.9
583164091.5,280544723.2,441109763.3
413304486.4,181404951.9,294901609.5
560697176.2,267131540.8,405324192.3
651465223,321713659,473669706.1
439534037.8,201895933.9,323217096.2
482156968.3,223798032.9,348859862.6
636122884.7,302988461.7,461731013.1
579784804.7,287109555.7,432932165.2
815983922.1,420221980.1,617275060.7
724311440.9,353857798,536654871.7
586269512.7,271175573.8,429255700.3
695225658.3,338879352.9,513766379.9
689531325.6,334134351.7,507185217.9
565954072.6,274320986,408572738.3
939838728.5,492172638.5,717040065.6
910096951.2,467483769.1,685946576.9
1195664657,625778102.7,925752826.9
426837909.5,193083079.4,304813898
520948020.7,245814625,370796281.4
759313990,385494553.1,569287651.1
759127667.1,384448172.9,568629886.1
757147469.2,377926735,562449357
725323540.2,358028726.7,534029251.1
501042255.2,236574792.3,370027780.8
739714759.7,374652170.1,556339152.9
613782227.9,291996784.5,446708130.1
850077929.7,432131775.2,660724171.7
904788645.9,446957563.5,673295589.9
878030268.2,453998347.5,658112924.5
658253972.4,319918257.1,493427191.1
558475557.7,265524852.9,405631873.2
678025187.3,348711106.7,497254616.3
962845924.6,511141908.7,733565645.2
902870395.4,476164110.1,691283525.5
1134128249,619883719,877271802
1081630379,566660533.4,832048740.7
61552896.43,23050985.68,38807208.75
87157813.73,32503940.46,58656681.12
105407177.3,42395249.24,69827871.33
106764901.5,42642855.64,75245790.78
138399468.2,57268371.04,92858509.33
139067802.4,56794570.99,93558161.16
161103553.2,64550421.76,108846335.5
185911757.2,83745209.91,128339301
127203381.1,47848644.37,84901408.2
182296899.5,77489072.8,127040420.2
224786094.3,100240770.2,157472672.7
280896656.6,129862953,213386971.4
267584221.9,113308638.1,185088608.2
277923817.7,120454558.6,188605512
161139684.8,64466618.97,108972842.9
213709162.6,89366260.8,147450002.2
242799759.4,101732016.7,169424243.4
319365775,141231964.2,226979842.8
367220564.5,169149046.3,262458247.8
434786128.7,203557262,304001850.9
274198523.1,136273530.7,204483667.7
157957322.7,63067041.95,107668971.5
293191904.5,136272353.1,213639646.3
231243843.5,97111897.68,162508034.1
344783508.6,159415723.2,253510749.5
296275015.3,131023667.3,202357896.2
159725930.4,63821834.07,110947002.3
161908548.7,63738185.66,107080889.3
304972546.4,136404260.9,210773848.3
373692278,172444922.2,268462641.7
390963269.2,178349218,285341525.9
391588842.6,173239808.4,283668909.4
223081704.4,96120522.72,158044909.4
236298095.9,98227145.79,161410072.5
314893689,147906313.8,233070849.8
324649969.3,150638565.3,242529413.5
349604619.6,159380179.1,248529597.2
488355587.9,238884681.3,364468623
7425.137646,966.8363695,3874.505716
9677.391913,1164.220553,1359.04872
4606.431239,545.2154547,1448.074022
19856.24373,2933.568488,11130.09341
27958.47349,3922.204862,12950.22481
82266.15686,13643.7617,23743.8707
174742.1434,36310.96303,59934.83427
82410.59069,12548.12554,28933.84137
36639.86031,5051.308766,17675.09545
52442.58932,8330.913096,22388.46739
66258.89025,11369.67114,27878.80962
842596.2873,253470.7289,635229.6648
75479.18478,10961.01906,37722.31446
123633.6134,21159.95474,52392.588
128151.6182,24865.11624,48333.53944
293109.7329,73524.34908,183953.4596
239712.1106,43977.40305,84961.57662
1053984.983,308777.6378,365877.7783
354646.9348,68220.55626,208889.2445
166179.7347,25145.79181,79214.26613
970403.7939,207106.0733,422825.5895
697465.2879,161685.1264,406059.8122
1051699.218,234917.9989,483748.7127
1895654.306,440642.6551,1013973.318
2058200.99,470353.7148,1070697.748
1693513.209,445001.5487,614934.0594
6185020.8,1786062.803,3187903.949
7655686.632,2453165.919,4584766.046
7246409.273,2025321.365,3652366.834
6555687.747,1865676.866,3216343.308
11250455.32,3383073.196,6626836.434
12247991.76,4022483.661,6488958.119
14616267.58,4517287.995,9446291.526
14825458.39,4732640.918,8118045.474
26327852.59,8260816.128,14732657.7
26641324.36,9629435.295,14499248.77
49484590.36,17377488.39,30085965.58
50568576.22,16967806.96,31016199.31
86109925.99,33091718.86,58376323.5
96099452.01,38464817.82,63517343.64
83807214.61,35013380.85,57964047.52
117445519,49928480.36,80816345.07
217947624.7,93411580.65,151150753.5
230488033.1,100071862.5,158833248.2
327351847.4,147642591.6,241141209.6
330150175.5,153694697.8,234578368.8
471194366.1,219137643.6,325847418.3
554471727.5,263011896.1,402020827.4
731277674.2,367841903.2,536939856
834573038.7,425905867.8,620401910.8
1242982264,674956086.5,955932061.3
1480735869,830252878.2,1148658475
177018.7097,32436.83746,77356.8406
36133.86409,5348.102434,16503.1342
485174.3693,113567.6803,233947.1215
104869.6822,15939.0975,35753.28609
365647.8109,77157.79541,237993.9334
241856.0113,44498.67919,148546.9598
298786.7248,61211.07485,133411.2675
972619.9098,229407.1548,427042.6212
612097.998,122951.4352,244707.6218
987954.8939,227945.1771,383894.2631
679072.6532,151872.5339,343688.7433
1342787.911,314761.2042,740194.6997
1573505.175,363031.9499,765032.7341
