Lat,Long,Existing,Ordinance ,Algorithm
34.12152,-118.24166,1993814.119,1511482.618,1988534.068
34.06453,-118.24173,1902833.021,1635701.865,1883032.252
34.06282,-118.24174,2213898.786,1694658.214,2011288.512
34.06524,-118.24176,934589.0077,780868.0867,791452.8793
34.0621,-118.24178,924229.5708,656246.3901,919991.2982
34.06375,-118.24182,3471435.075,2991501.535,3444801.357
34.11827,-118.24185,870405.2202,615432.8411,876564.1957
34.12032,-118.24189,1280030.278,988467.1695,1060062.369
34.12134,-118.24191,1939563.26,1741169.817,1952488.382
34.11962,-118.24191,977446.056,756894.7869,971472.2096
34.06421,-118.242,773753.1242,511861.3017,780450.6582
34.06297,-118.24207,1896318.107,1627445.485,1876354.98
34.06548,-118.24212,931407.1188,665901.1909,927236.3963
34.06359,-118.24213,3327004.06,3025371.576,3276373.908
34.12014,-118.24216,977446.056,756894.7869,971472.2096
34.06256,-118.24226,866673.4254,693557.7078,767967.6825
34.12004,-118.24229,826117.7323,693763.7926,747249.6073
34.06412,-118.24239,1753727.527,1537499.47,1748327.816
34.06381,-118.24247,1751844.159,1535480.409,1746439.922
34.06151,-118.24262,1738553.544,1521256.666,1733117.959
34.063,-118.24263,614630.7614,331774.728,356496.0008
34.06215,-118.24266,720410.514,583576.978,646519.6824
34.06231,-118.2427,768049.0249,506092.3621,774769.7455
34.06451,-118.2429,929037.3656,662699.4628,924844.1412
34.12136,-118.243,503093.9331,394231.7652,436513.9291
34.06403,-118.24302,1306034.443,775654.3006,1120705.034
34.06173,-118.24305,1742393.007,1538435.049,1755531.278
34.11977,-118.24332,1280773.173,989505.8558,1061053.631
