Index,NoDamage,Slight,Moderate,Severe,Complete
Building_T2-100x50-S3-GS_Existing2,0.150421506,0.424100699,0.542779006,0.542794456,0.542778903
Building_T2-100x50-S3-GS_Existing3,0.107727533,0.291236868,0.45055989,0.480186905,0.480186905
Building_T2-100x50-S3-GS_Existing4,0.103622674,0.271952323,0.359325327,0.36834294,0.368328128
Building_T2-100x50-S3-GS_Existing5,0.094174454,0.273723239,0.380252164,0.382381414,0.382384049
Building_T2-100x50-S3-GS_Existing6,0.129611647,0.337080805,0.458456113,0.458456113,0.458446321
Building_T2-100x50-S3-GS_Existing7,0.116457472,0.383178763,0.623563001,0.659769759,0.659784346
Building_T2-100x50-S3-GS_Existing8,0.108861883,0.29093769,0.426596205,0.441706593,0.445683789
Building_T2-100x50-S3-GS_Existing9,0.146997669,0.439394181,0.592458354,0.615140539,0.615156569
Building_T2-100x50-S3-GS_Existing10,0.125311886,0.345719209,0.529548654,0.562561074,0.562561074
Building_T2-60x50-S2-PS_Existing1,0.125157408,0.41049114,0.688321758,0.957338673,1.041192653
Building_T2-60x50-S2-PS_Existing2,0.141805271,0.453624014,0.757907856,1.026003811,1.069787702
Building_T2-60x50-S2-PS_Existing3,0.166999456,0.496283486,0.834898457,1.130264613,1.202360182
Building_T2-60x50-S2-PS_Existing4,0.134209039,0.375181158,0.635561813,0.799061972,0.824115713
Building_T2-60x50-S2-PS_Existing5,0.199744344,0.582821129,0.972538852,1.328877886,1.388988606
Building_T2-60x50-S2-PS_Existing6,0.135480124,0.424332807,0.741352657,1.01316558,1.108683211
Building_T2-60x50-S2-PS_Existing7,0.201959081,0.576983421,0.974077311,1.316822146,1.36360219
Building_T2-60x50-S2-PS_Existing8,0.165051725,0.514136646,0.863063387,1.186010772,1.304347254
Building_T2-60x50-S2-PS_Existing9,0.145691279,0.440637233,0.712350648,0.964446807,1.003010107
Building_T2-60x50-S2-PS_Existing10,0.127234614,0.421300885,0.68862979,0.903219631,0.938360628
Building_T2-60x50-S3-PS_Existing1,0.122061811,0.317460966,0.5043369,0.615199139,0.615199139
Building_T2-60x50-S3-PS_Existing2,0.089409903,0.252413208,0.411498747,0.475950588,0.475950588
Building_T2-60x50-S3-PS_Existing3,0.099348732,0.276729824,0.469083393,0.634916363,0.656563049
Building_T2-60x50-S3-PS_Existing4,0.086747129,0.228983549,0.364530287,0.385494415,0.385494415
Building_T2-60x50-S3-PS_Existing5,0.108873296,0.363468021,0.610578467,0.748924075,0.757516129
Building_T2-60x50-S3-PS_Existing6,0.10600076,0.353429382,0.594810234,0.775260654,0.827174697
Building_T2-60x50-S3-PS_Existing7,0.103605946,0.345886297,0.600991916,0.759672392,0.781618337
Building_T2-60x50-S3-PS_Existing8,0.122432312,0.389055798,0.657717005,0.865101606,0.925067319
Building_T2-60x50-S3-PS_Existing9,0.061789163,0.170546987,0.280636763,0.298949527,0.298949527
Building_T2-60x50-S3-PS_Existing10,0.119846805,0.312436632,0.536129514,0.741358623,0.788555353
Building_T2-100x50-S2-PS_Existing1,0.098840165,0.257984718,0.496496267,0.632142411,0.65795384
Building_T2-100x50-S2-PS_Existing2,0.12799499,0.371712963,0.66684667,0.787818577,0.796765669
Building_T2-100x50-S2-PS_Existing3,0.13646445,0.41571894,0.704548994,0.943340049,1.029514853
Building_T2-100x50-S2-PS_Existing4,0.125802695,0.388167334,0.62909299,0.814440517,0.8292195
Building_T2-100x50-S2-PS_Existing5,0.097468214,0.258263013,0.461945086,0.559577681,0.565726854
Building_T2-100x50-S2-PS_Existing6,0.131261781,0.400555911,0.687310788,0.913729995,0.936081372
Building_T2-100x50-S2-PS_Existing7,0.122637862,0.375324777,0.672460879,0.872706807,0.907191713
Building_T2-100x50-S2-PS_Existing8,0.103108336,0.293769448,0.522121442,0.578797432,0.583041228
Building_T2-100x50-S2-PS_Existing9,0.12068111,0.312191663,0.523904916,0.69359978,0.717560623
Building_T2-100x50-S2-PS_Existing10,0.123235668,0.334783279,0.548797977,0.737250942,0.769691925
Building_T2-100x50-S3-PS_Existing1,0.09209982,0.219295111,0.378764396,0.39677348,0.39677348
Building_T2-100x50-S3-PS_Existing2,0.09246093,0.250980756,0.446227718,0.513744701,0.521202092
Building_T2-100x50-S3-PS_Existing3,0.091213155,0.229681431,0.423665553,0.487415302,0.493800668
Building_T2-100x50-S3-PS_Existing4,0.086369102,0.286781619,0.474815515,0.527942489,0.532302733
Building_T2-100x50-S3-PS_Existing5,0.105433983,0.265133578,0.479281518,0.546962568,0.550244194
Building_T2-100x50-S3-PS_Existing6,0.103173774,0.271170127,0.487712705,0.579801291,0.581390256
Building_T2-100x50-S3-PS_Existing7,0.067731584,0.184275292,0.279100259,0.296889331,0.296889331
Building_T2-100x50-S3-PS_Existing8,0.09187755,0.241111228,0.382797854,0.404097375,0.404126214
Building_T2-100x50-S3-PS_Existing9,0.105987302,0.296594416,0.516727872,0.60601768,0.618285661
Building_T2-100x50-S3-PS_Existing10,0.095264899,0.243253403,0.422595793,0.510487674,0.510487674
Building_T3-50x30-S2-GS_Existing1,0.284741933,0.779560641,1.293603456,1.630420849,1.69422352
Building_T3-50x30-S2-GS_Existing2,0.182390645,0.533826921,0.872899692,1.032426484,1.056076592
Building_T3-50x30-S2-GS_Existing3,0.326119245,0.862280335,1.399454902,1.762910067,1.813064917
Building_T3-50x30-S2-GS_Existing4,0.323405626,0.868471062,1.398720394,1.654986539,1.699437028
Building_T3-50x30-S2-GS_Existing5,0.175122613,0.512219655,0.802556834,0.872159331,0.887995258
Building_T3-50x30-S2-GS_Existing6,0.210144194,0.635052256,1.016382703,1.227244132,1.253614492
