Index,NumStory,SeismicWeight,Area,LongDim,ShortDim,LongWall,ShortWall,DampingRatio,StoryHeight,1st Mode,2nd Mode,Xpeakstrength,Xdrift@peakstrength,Xdrift@80%peakstrength,Xdrift@20%residualstrength,Zpeakstrength,Zdrift@peakstrength,Zdrift@80%peakstrength,Zdrift@20%residualstrength
Building_T1-60x30-S3-PS_FEMA,3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,0.519748135,0.451884957,0.324336,0.006732,0.004561,0.027076,0.220371,0.006475,0.004192,0.028194
Building_T1-100x30-S2-PS_FEMA,2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,0.424819796,0.337789454,0.642034,0.016268,0.005795,0.076891,0.26873,0.014134,0.005551,0.088183
Building_T1-100x30-S3-PS_FEMA,3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,0.627274986,0.484704466,0.355619,0.006595,0.004424,0.027279,0.141012,0.006863,0.004375,0.027961
Building_T2-60x50-S2-GS_FEMA,2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,0.364680414,0.316351506,0.383752,0.005525,0.002625,0.021616,0.413809,0.005671,0.003524,0.045873
Building_T2-60x50-S3-GS_FEMA,3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,0.482980552,0.431170492,0.263907,0.005986,0.003084,0.018189,0.326282,0.006566,0.003703,0.033177
Building_T2-100x50-S2-GS_FEMA,2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,0.392296724,0.369598624,0.472249,0.006082,0.003393,0.025638,0.294414,0.008074,0.003877,0.033463
Building_T2-100x50-S3-GS_FEMA,3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,0.537051064,0.50037209,0.278459,0.005645,0.002927,0.016857,0.209382,0.006469,0.003588,0.024509
Building_T2-60x50-S2-PS_FEMA,2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,0.402088225,0.395360116,0.332268,0.010268,0.004133,0.041108,0.528893,0.017595,0.008244,0.081595
Building_T2-60x50-S3-PS_FEMA,3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,0.555676716,0.532445226,0.194271,0.008857,0.004026,0.027922,0.241706,0.006008,0.004104,0.027073
Building_T2-100x50-S2-PS_FEMA,2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,0.485892621,0.405068561,0.346426,0.008442,0.003995,0.039884,0.372082,0.016061,0.008387,0.047439
Building_T2-100x50-S3-PS_FEMA,3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,0.674144207,0.558613949,0.199819,0.006004,0.003631,0.027116,0.156609,0.006298,0.004299,0.026811
Building_T3-50x30-S2-GS_FEMA,2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,0.3224773,0.228945961,0.657735,0.00597,0.003071,0.02415,0.441713,0.005833,0.003508,0.042638
Building_T3-50x30-S3-GS_FEMA,3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,0.448091707,0.33238026,0.396356,0.005422,0.002716,0.016435,0.264408,0.004881,0.002827,0.022743
Building_T3-80x30-S2-GS_FEMA,2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,0.343257064,0.268218545,0.636386,0.005945,0.003123,0.023642,0.431932,0.006147,0.003008,0.026975
Building_T3-80x30-S3-GS_FEMA,3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,0.479320999,0.391495022,0.385536,0.005297,0.002707,0.016003,0.259478,0.00578,0.002824,0.017965
Building_T3-50x30-S2-PS_FEMA,2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,0.337214767,0.272457701,0.478198,0.006056,0.003761,0.03806,0.521365,0.013775,0.006367,0.060127
Building_T3-50x30-S3-PS_FEMA,3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,0.477088943,0.385050932,0.32236,0.006481,0.003782,0.024761,0.24714,0.006266,0.003988,0.027323
Building_T3-80x30-S2-PS_FEMA,2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,0.39489204,0.311624498,0.490764,0.006279,0.003631,0.03838,0.373683,0.023486,0.006856,0.068767
Building_T3-80x30-S3-PS_FEMA,3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,0.608754911,0.460819108,0.296215,0.006086,0.003551,0.026477,0.164995,0.009638,0.004451,0.029887
Building_T4-60x50-S2-GS_FEMA,2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,0.303159115,0.277551331,0.409569,0.005992,0.003502,0.026743,0.529439,0.006213,0.003647,0.02464
Building_T4-60x50-S3-GS_FEMA,3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,0.433793899,0.38854875,0.253128,0.005712,0.003155,0.018249,0.354408,0.005668,0.00334,0.016485
Building_T4-100x50-S2-GS_FEMA,2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,0.335201533,0.299305807,0.441658,0.005982,0.003438,0.024654,0.355749,0.006152,0.003546,0.021994
Building_T4-100x50-S3-GS_FEMA,3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,0.478670291,0.426269622,0.272639,0.005535,0.003026,0.016938,0.21557,0.00524,0.003002,0.014362
Building_T4-60x50-S2-PS_FEMA,2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,0.356677706,0.348313221,0.405221,0.011111,0.005607,0.046702,0.354995,0.010618,0.004525,0.039984
Building_T4-60x50-S3-PS_FEMA,3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,0.509638319,0.494857751,0.208379,0.006617,0.004248,0.027389,0.240371,0.006066,0.004077,0.027522
Building_T4-100x50-S2-PS_FEMA,2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,0.430519492,0.343433562,0.386107,0.00938,0.004542,0.041751,0.274087,0.00956,0.004806,0.018989
Building_T4-100x50-S3-PS_FEMA,3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,0.629395277,0.502565898,0.201496,0.006079,0.003744,0.027075,0.140697,0.007908,0.004082,0.02438
Building_T1-60x30-S2-GS_IEBC,2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,0.291585853,0.280144224,0.747045,0.009716,0.0057,0.069617,0.622581,0.008675,0.004141,0.091965
Building_T1-60x30-S3-GS_IEBC,3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,0.385294756,0.37725671,0.461677,0.006507,0.004034,0.016226,0.384476,0.005029,0.002856,0.014995
Building_T1-100x30-S2-GS_IEBC,2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,0.329602966,0.289642666,0.864206,0.010603,0.005572,0.069651,0.387059,0.008294,0.003878,0.085847
Building_T1-100x30-S3-GS_IEBC,3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,0.422864841,0.351919662,0.505869,0.006435,0.003933,0.016467,0.248393,0.00451,0.002431,0.01387
Building_T1-60x30-S2-PS_IEBC,2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,0.336624981,0.320028026,0.713409,0.014473,0.007953,0.072498,0.52886,0.027257,0.007797,0.059463
Building_T1-60x30-S3-PS_IEBC,3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,0.455894121,0.433217743,0.324336,0.005727,0.00382,0.026416,0.220369,0.004469,0.002882,0.026478
Building_T1-100x30-S2-PS_IEBC,2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,0.405776493,0.316399193,0.814328,0.013198,0.007918,0.07339,0.28249,0.019119,0.005984,0.100055
Building_T1-100x30-S3-PS_IEBC,3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,0.522864739,0.405013015,0.355623,0.00568,0.003765,0.02659,0.141016,0.004045,0.002583,0.025555
Building_T2-60x50-S2-GS_IEBC,2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,0.297600734,0.294965072,0.70742,0.009719,0.005534,0.02697,0.825589,0.01165,0.006527,0.082955
Building_T2-60x50-S3-GS_IEBC,3,469.3694583,9000,720,600,10036,7346.25,0.01,9.25,0.403804767,0.388117605,0.299789,0.004526,0.002536,0.014918,0.421369,0.006279,0.003792,0.015245
Building_T2-100x50-S2-GS_IEBC,2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,0.355693661,0.303832842,0.773518,0.008873,0.004666,0.026322,0.644554,0.011016,0.00676,0.023621
Building_T2-100x50-S3-GS_IEBC,3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,0.469213205,0.394057845,0.331931,0.004471,0.002493,0.015026,0.275591,0.00523,0.003063,0.014106
Building_T2-60x50-S2-PS_IEBC,2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,0.377209933,0.328501458,0.498569,0.008589,0.005366,0.041375,0.572844,0.010538,0.007255,0.042485
Building_T2-60x50-S3-PS_IEBC,3,469.3694583,9000,720,600,10036,7346.25,0.01,9.25,0.510624256,0.443040125,0.209535,0.004283,0.002684,0.025416,0.241704,0.005408,0.003654,0.026725
Building_T2-100x50-S2-PS_IEBC,2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,0.441847641,0.331837695,0.54536,0.00758,0.004721,0.040748,0.372081,0.008525,0.005909,0.040566
Building_T2-100x50-S3-PS_IEBC,3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,0.58362368,0.436696062,0.232274,0.004207,0.002631,0.025482,0.156609,0.004678,0.003093,0.025899
Building_T3-50x30-S2-GS_IEBC,2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,0.280943878,0.197833938,1.130687,0.009536,0.004281,0.027904,0.799549,0.019584,0.006961,0.058464
Building_T3-50x30-S3-GS_IEBC,3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,0.391443279,0.284758038,0.487748,0.00456,0.002567,0.015729,0.355556,0.006005,0.003473,0.016059
Building_T3-80x30-S2-GS_IEBC,2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,0.284025415,0.23612891,1.129335,0.009708,0.004408,0.02776,0.64724,0.013059,0.005331,0.06181
Building_T3-80x30-S3-GS_IEBC,3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,0.412047234,0.337615809,0.484224,0.004587,0.002594,0.015707,0.299636,0.00558,0.003227,0.014914
