Slight,Moderate,Severe,Complete
2.174970169,1.879887325,1.871052188,2.442287672
2.215427602,1.942701928,1.876772893,1.825963292
2.133884577,1.823699671,1.707588355,1.663652268
2.460055257,2.458599982,2.488813169,2.490424242
2.19390969,1.960899006,1.970093443,1.958788286
2.119061461,2.134598128,2.366953312,2.720097664
2.168485572,2.091507082,2.248532535,2.36718189
2.15447914,2.008878716,2.150180416,2.360575195
2.341207558,2.18549069,2.3490825,2.575952036
2.036323627,1.884485752,1.986478753,2.100348465
1.46096542,1.422358687,1.418731389,1.443586724
1.61109265,1.54669729,1.669586184,1.777477327
1.707094551,1.704848533,1.858561369,1.962257998
1.483373289,1.451535002,1.555357911,1.580646379
1.554773485,1.574702903,1.691967103,1.815078332
2.304444378,2.226873658,2.457359284,2.663474013
2.021011443,1.977563564,2.098529366,2.195863924
2.088192994,1.989474205,2.220708445,2.31059784
2.247668054,2.157720353,2.353273673,2.417323427
2.108051786,2.06462255,2.295131162,2.423475736
2.057452843,2.116145146,2.328688029,2.620705987
1.680900099,1.705324255,1.85748647,2.075020437
2.193497853,2.012514307,2.13350747,2.220064958
1.791439875,1.693836576,1.842016599,1.951299655
2.169163256,2.088915612,2.345164507,2.688261984
2.307594677,2.225672136,2.474763453,2.568167876
2.713422319,2.649624153,2.957618038,3.047417414
2.414842058,2.62895964,2.855368688,3.374640029
2.611845536,2.686369472,3.040636809,3.23122799
2.324074988,2.444911439,2.555801459,2.95287409
1.941493476,1.838979573,2.009451768,2.070218323
2.253220972,2.177899749,2.397363393,2.589675721
2.24556802,2.103049188,2.280834874,2.335963244
2.080777526,2.002940465,2.173639547,2.188931179
1.978122372,1.892110536,2.007006011,2.875073629
1.956573157,2.043575952,2.167426474,2.131088314
1.871466613,2.03118797,2.403271626,2.498691032
1.870245148,1.917423764,2.081752893,2.126835559
1.937436794,2.082129958,2.358425097,2.407588747
1.950175327,2.032939257,2.139546696,2.09730362
1.772926312,1.822345529,2.101406243,2.10896086
1.615265508,1.680479429,1.924898371,1.932464006
1.643681107,1.708841023,1.915198029,1.924069579
1.766793442,1.803716577,2.054679104,2.092858909
1.797572074,1.953285283,2.057898164,2.433245736
1.599295288,1.670134266,2.049795419,2.14078125
1.805723017,1.882298856,2.222374296,2.271994618
1.63503576,1.66085398,2.061932742,2.159772293
1.7991013,1.755255019,2.187355032,2.285196093
1.815493909,1.90170362,2.228407596,2.339769036
2.684066049,2.784470623,2.993607573,3.883213158
2.787184515,3.006214798,3.27959772,6.43926875
2.732956191,2.720720655,2.771486772,2.792547461
2.617333618,2.474665299,2.482692535,2.47908415
2.600843255,2.627967105,2.82277863,2.817956603
2.112572916,2.502918636,3.208732998,3.211574293
2.289430115,2.671664767,3.110021947,3.099899734
2.111096832,2.511572529,3.209718469,3.282761012
2.343647121,2.596644553,2.86584686,2.886569365
2.079766327,2.396375387,3.090077943,3.134053893
1.763341833,2.030810964,2.338767284,2.401390628
2.129282406,2.468241872,3.065628079,3.352651514
2.050440551,2.244013446,2.400377395,2.422703351
1.970506969,2.209257307,2.50652604,2.56238183
2.020498192,2.286313968,2.583047352,2.817755545
2.0531446,2.346823881,2.807098453,2.83720774
1.919778674,2.155507116,2.70387384,2.706033763
1.865748145,2.121662797,2.571055148,2.589626251
1.941158619,2.19218292,2.745603464,2.75589427
1.914439118,2.147205217,2.616254986,2.605226662
1.954507187,1.890072082,2.236626374,2.342001628
2.099378165,1.987825974,2.171214149,2.245825572
2.103422379,2.005753921,2.305636596,2.388776421
2.084978191,2.113493025,2.500176258,2.637260995
1.873423486,1.804525202,1.920581596,1.949529746
1.762422717,1.93101503,2.332458835,2.422556687
1.754370396,1.936352044,2.343073241,2.442273326
1.7365965,1.939102513,2.359712302,2.454285442
1.796369488,1.951516585,2.325356023,2.405755617
1.677834652,1.764530654,2.164160929,2.279499535
1.961371816,2.215979787,2.534401157,2.555952358
