,NumStory,SeismicWeight,peakstrength,drift@peakstrength,drift@80%peakstrength,drift@20%residualstrength,area
Building_T1-100x30-S2-GS_Variated10_3,1,240.0,0.8971185999999999,0.0078018,0.00305405,0.0435135,0.005254327080507511
Building_T1-100x30-S2-GS_Variated10_4,1,240.0,0.9203271583333332,0.0105495,0.00394595,0.0395766,0.007425101910549429
Building_T1-100x30-S2-GS_Variated10_5,1,240.0,1.0167355291666669,0.00912613,0.00498198,0.0526577,0.006650208876953091
Building_T1-100x30-S3-GS_Variated1_1,1,222.0,1.1678987837837838,0.0107027,0.00669369,0.0603333,0.008525523469925175
Building_T1-100x30-S3-GS_Variated1_2,1,222.0,0.9572967117117116,0.0126486,0.00558559,0.0537928,0.009148840291322966
Building_T1-100x30-S3-GS_Variated1_3,1,222.0,0.937244427927928,0.011027,0.00363964,0.052027,0.00797270761796846
Building_T1-100x30-S3-GS_Variated1_4,1,222.0,1.0247488243243241,0.0110991,0.00507207,0.0617387,0.008357518980284778
Building_T1-100x30-S3-GS_Variated1_5,1,222.0,1.1801448378378379,0.013973,0.00968468,0.0497117,0.010699518464863025
Building_T1-100x30-S3-GS_Variated2_1,1,221.0,1.0859426334841629,0.0115586,0.00592793,0.048036,0.009128396072127874
Building_T1-100x30-S3-GS_Variated2_2,1,221.0,1.0672238461538461,0.00931532,0.00402703,0.0408829,0.007442360037432668
Building_T1-100x30-S3-GS_Variated2_3,1,221.0,0.8225855113122171,0.0115495,0.00416216,0.0458739,0.007380505962456053
Building_T1-100x30-S3-GS_Variated2_4,1,221.0,0.8714135701357466,0.00864865,0.00523423,0.0481892,0.005192693313742476
Building_T1-100x30-S3-GS_Variated2_5,1,221.0,1.1061339095022624,0.0106937,0.00698198,0.0422162,0.00791633991035843
Building_T1-100x30-S3-GS_Variated3_1,1,221.0,1.0445060488687783,0.00672973,0.00336937,0.0458739,0.005026117422208392
Building_T1-100x30-S3-GS_Variated3_2,1,221.0,1.1922077619909501,0.00702703,0.00473874,0.0381351,0.0054105577645144065
Building_T1-100x30-S3-GS_Variated3_3,1,221.0,0.9488159909502262,0.00823423,0.00309009,0.0421802,0.0060228219444306615
Building_T1-100x30-S3-GS_Variated3_4,1,221.0,1.1333749864253393,0.00763964,0.0053964,0.0386486,0.005492535358284471
Building_T1-100x30-S3-GS_Variated3_5,1,221.0,0.886135479638009,0.00705405,0.00194595,0.0409369,0.005037439157516506
Building_T1-100x30-S3-GS_Variated4_1,1,230.0,0.786632847826087,0.00899099,0.00495495,0.0416126,0.005153247749272314
Building_T1-100x30-S3-GS_Variated4_2,1,230.0,0.9877424434782609,0.00851351,0.00421622,0.040991,0.006032673957947982
Building_T1-100x30-S3-GS_Variated4_3,1,230.0,0.8351971826086957,0.00998198,0.00236036,0.046036,0.007003593003366386
Building_T1-100x30-S3-GS_Variated4_4,1,230.0,0.818728692173913,0.00411712,0.00196396,0.0544685,0.0023536803069205666
Building_T1-100x30-S3-GS_Variated4_5,1,230.0,1.1722999565217394,0.00990991,0.00556757,0.0544595,0.008177351792144094
Building_T1-100x30-S3-GS_Variated5_1,1,224.0,0.939911049107143,0.0127027,0.00763063,0.0535946,0.00830764189004
Building_T1-100x30-S3-GS_Variated5_2,1,224.0,1.0503443035714286,0.0106396,0.00717117,0.0636847,0.007394710077521175
Building_T1-100x30-S3-GS_Variated5_3,1,224.0,1.089521424107143,0.0121171,0.00852252,0.0495856,0.008430569466219997
