,Latitude,Longitude,Story,Type,Material,Dimension,Area,Index,Num_Units,RepairCost,existing fatality,optimized fatality,ordinance
1787,34.04313,-118.29068,2,L1,GWB,100X30,6000,L1-2S-100X30-GWB,6,29838.22506,0.010766813,0.010766813,0.009253993
1788,33.97523,-118.29069,2,L4,HWS,100X50,10000,L4-2S-100X50-HWS,10,64988.58648,0.007362692,0.007362692,0.006129595
1789,33.98162,-118.2907,2,L3,GWB,80X30,4800,L3-2S-80X30-GWB,5,31478.31112,0.006806947,0.006806947,0.005590164
1790,34.09003,-118.29071,2,L3,HWS,80X30,4800,L3-2S-80X30-HWS,5,26306.85583,0.010786964,0.010786964,0.009168628
1791,34.05416,-118.29072,3,L1,GWB,60X30,5400,L1-3S-60X30-GWB,5,32126.521,0.010525226,0.010525226,0.008995981
1792,33.72995,-118.29074,2,L4,GWB,60X50,6000,L4-2S-60X50-GWB,6,38506.05892,0.003627803,0.003627803,0.002922921
1793,33.93066,-118.29075,2,L3,GWB,80X30,4800,L3-2S-80X30-GWB,5,31054.90833,0.005221919,0.005221919,0.004203986
1794,33.87787,-118.29075,2,L4,GWB,60X50,6000,L4-2S-60X50-GWB,6,36506.79512,0.004084666,0.004084666,0.003157761
1795,33.87774,-118.29076,2,L3,HWS,50X30,3000,L3-2S-50X30-HWS,3,18253.90357,0.004130413,0.004130413,0.003185675
1796,33.72542,-118.29076,2,L4,GWB,60X50,6000,L4-2S-60X50-GWB,6,33457.58708,0.003297539,0.003297539,0.002661979
1797,34.04354,-118.29077,3,L4,HWS,100X50,15000,L4-3S-100X50-HWS,15,81001.04894,0.010737539,0.010737539,0.009224629
1798,33.724,-118.29077,2,L4,GWB,100X50,10000,L4-2S-100X50-GWB,10,59304.7428,0.003195641,0.003195641,0.002561002
1799,33.88499,-118.29078,2,L4,GWB,60X50,6000,L4-2S-60X50-GWB,6,41092.04304,0.004610688,0.004610688,0.003547815
1800,33.87829,-118.29078,2,L3,GWB,80X30,4800,L3-2S-80X30-GWB,5,32318.31589,0.003917753,0.003917753,0.003032252
1801,33.87817,-118.29078,2,L4,HWS,60X50,6000,L4-2S-60X50-HWS,6,34569.60506,0.004013201,0.004013201,0.003105752
1802,34.10205,-118.29082,2,L3,HWS,80X30,4800,L3-2S-80X30-HWS,5,29769.47952,0.010656096,0.010649794,0.009175812
1803,34.08318,-118.29086,2,L3,GWB,50X30,3000,L3-2S-50X30-GWB,3,19708.13221,0.010436089,0.010436089,0.008797813
1804,34.11025,-118.29087,2,L4,GWB,60X50,6000,L4-2S-60X50-GWB,6,38083.90311,0.010993828,0.010993828,0.009613642
1805,34.09006,-118.29088,2,L1,GWB,100X30,6000,L1-2S-100X30-GWB,6,36109.7715,0.010769844,0.010769844,0.009159474
1806,34.08894,-118.29089,2,L4,GWB,60X50,6000,L4-2S-60X50-GWB,6,37755.24695,0.010701313,0.010701313,0.009082527
1807,34.10477,-118.29093,3,L3,GWB,80X30,7200,L3-3S-80X30-GWB,7,39805.53065,0.011169507,0.011169507,0.009690057
1808,33.89219,-118.29093,3,L4,GWB,100X50,15000,L4-3S-100X50-GWB,15,82117.85672,0.00503494,0.00503494,0.00392975
1809,33.93421,-118.29097,2,L1,GWB,100X30,6000,L1-2S-100X30-GWB,6,35904.71831,0.005780491,0.005780491,0.004687937
