,NumStory,SeismicWeight,peakstrength,drift@peakstrength,drift@80%peakstrength,drift@20%residualstrength,area
Building_T1-100x30-S3-GS_Variated3_3,1,221.0,0.5645430371040725,0.010956,0.00456993,0.0437892,0.004723017304911653
Building_T1-100x30-S3-GS_Variated3_4,1,221.0,0.6331129511312217,0.0119158,0.00614479,0.0671668,0.0054735773629242535
Building_T1-100x30-S3-GS_Variated3_5,1,221.0,0.539583334841629,0.00899612,0.00354766,0.0409055,0.0037528425148266554
Building_T1-100x30-S3-GS_Variated4_1,1,230.0,0.45869807999999995,0.012339,0.00540549,0.108231,0.0043152510621406485
Building_T1-100x30-S3-GS_Variated4_2,1,230.0,0.5683246460869565,0.0139174,0.00574495,0.043759,0.0060867841918569015
Building_T1-100x30-S3-GS_Variated4_3,1,230.0,0.5225093886956522,0.0114828,0.00450788,0.0466771,0.004640284440089251
Building_T1-100x30-S3-GS_Variated4_4,1,230.0,0.5194921973913044,0.0105451,0.00404985,0.0523977,0.004236065689503632
Building_T1-100x30-S3-GS_Variated4_5,1,230.0,0.675939124347826,0.0158397,0.00716487,0.0656077,0.008065322043998372
Building_T1-100x30-S3-GS_Variated5_1,1,224.0,0.5318955624999999,0.0200787,0.0091105,0.138469,0.008098976047049884
Building_T1-100x30-S3-GS_Variated5_2,1,224.0,0.5978681053571429,0.0163481,0.0082038,0.0880917,0.007212111242202992
Building_T1-100x30-S3-GS_Variated5_3,1,224.0,0.6004682857142857,0.017093,0.00950273,0.145815,0.007279869727582298
Building_T1-100x30-S3-GS_Variated5_4,1,224.0,0.5784919669642857,0.0174751,0.00845237,0.139224,0.0075023205200939885
Building_T1-100x30-S3-GS_Variated5_5,1,224.0,0.5124464330357142,0.0160191,0.00678208,0.1272,0.006273370120907134
Building_T1-100x30-S3-GS_Variated6_1,1,219.0,0.6774996611872146,0.0168426,0.00643711,0.0603733,0.00897524340851911
Building_T1-100x30-S3-GS_Variated6_2,1,219.0,0.5731593890410959,0.0176016,0.0088268,0.145804,0.007398252269782093
Building_T1-100x30-S3-GS_Variated6_3,1,219.0,0.5036792890410959,0.0148206,0.00559114,0.0574685,0.00581709774197339
Building_T1-100x30-S3-GS_Variated6_4,1,219.0,0.6172567780821918,0.0152169,0.00805653,0.141004,0.00669404370378352
Building_T1-100x30-S3-GS_Variated6_5,1,219.0,0.5545408794520549,0.0179473,0.00865295,0.0914953,0.0073637684700512355
Building_T1-100x30-S3-GS_Variated7_1,1,251.0,0.49988815139442233,0.0164875,0.00690117,0.0629944,0.0063214306219406885
Building_T1-100x30-S3-GS_Variated7_2,1,251.0,0.4469858820717131,0.0151701,0.00721191,0.116712,0.0050375976808736496
Building_T1-100x30-S3-GS_Variated7_3,1,251.0,0.5281547171314741,0.0172613,0.00783866,0.130299,0.006890705858182385
Building_T1-100x30-S3-GS_Variated7_4,1,251.0,0.6108505370517927,0.0155649,0.00695139,0.0742304,0.0072070330413885175
Building_T1-100x30-S3-GS_Variated7_5,1,251.0,0.511082625498008,0.0190796,0.00871451,0.1396,0.0073856110253990755
Building_T1-100x30-S3-GS_Variated8_1,1,241.0,0.5996551145228216,0.0162156,0.00847118,0.0824752,0.006917114040761075
Building_T1-100x30-S3-GS_Variated8_2,1,241.0,0.6213054107883818,0.01938,0.00953867,0.100771,0.008841368677236219
Building_T1-100x30-S3-GS_Variated8_3,1,241.0,0.44402136431535266,0.0124341,0.0042569,0.049383,0.004423665217595875
Building_T1-100x30-S3-GS_Variated8_4,1,241.0,0.5782733609958506,0.0216415,0.0109116,0.157494,0.009156254903715223
Building_T1-100x30-S3-GS_Variated8_5,1,241.0,0.5816444979253113,0.0170047,0.00859878,0.140692,0.007226808025771985
Building_T1-100x30-S3-GS_Variated9_1,1,207.0,0.564037936231884,0.0133952,0.00764273,0.123809,0.005365389108493883
Building_T1-100x30-S3-GS_Variated9_2,1,207.0,0.650082625120773,0.0136462,0.00595998,0.058116,0.006803878401779509
Building_T1-100x30-S3-GS_Variated9_3,1,207.0,0.7060190995169082,0.0151625,0.00667301,0.06216,0.008159884765894979
Building_T1-100x30-S3-GS_Variated9_4,1,207.0,0.5377810888888888,0.0121639,0.00541015,0.112674,0.0049436796601788485
Building_T1-100x30-S3-GS_Variated9_5,1,207.0,0.603564914009662,0.0128626,0.00469672,0.0494758,0.006175091624725482
Building_T1-100x30-S3-GS_Variated10_1,1,220.0,0.5181253113636363,0.0100038,0.00400342,0.0443297,0.003964626693592552
Building_T1-100x30-S3-GS_Variated10_2,1,220.0,0.5490768345454544,0.0115424,0.00483452,0.0580217,0.004822831488874601
Building_T1-100x30-S3-GS_Variated10_3,1,220.0,0.49131732,0.0122972,0.00553357,0.0561984,0.004568282664458686
Building_T1-100x30-S3-GS_Variated10_4,1,220.0,0.5811383390909092,0.0140437,0.00575009,0.0583339,0.006303475000737149
Building_T1-100x30-S3-GS_Variated10_5,1,220.0,0.6196738036363636,0.0188584,0.00885254,0.146005,0.008750779686202803
Building_T1-60x30-S2-PS_Variated1_1,1,136.0,0.6843344000000001,0.0507645,0.0114157,0.10947,0.030603414396679192
Building_T1-60x30-S2-PS_Variated1_2,1,136.0,0.5433194735294118,0.0165116,0.00868888,0.188619,0.006609174469616917
Building_T1-60x30-S2-PS_Variated1_3,1,136.0,0.625217663235294,0.021602,0.00904252,0.109339,0.01051491492307731
Building_T1-60x30-S2-PS_Variated1_4,1,136.0,0.5418565352941176,0.0477388,0.00910328,0.113526,0.023295298919109378
Building_T1-60x30-S2-PS_Variated1_5,1,136.0,0.5536116838235294,0.0172693,0.0104948,0.136133,0.0065638525893777395
Building_T1-60x30-S2-PS_Variated2_1,1,142.0,0.7028164577464788,0.0641269,0.0113967,0.116931,0.040745407456402594
Building_T1-60x30-S2-PS_Variated2_2,1,142.0,0.6176863126760563,0.0219213,0.00915884,0.111758,0.010609620531255191
Building_T1-60x30-S2-PS_Variated2_3,1,142.0,0.6903592183098591,0.0640549,0.0130997,0.1245,0.03873468607490753
Building_T1-60x30-S2-PS_Variated2_4,1,142.0,0.5487830436619718,0.0445245,0.0100034,0.124445,0.021633426888831124
Building_T1-60x30-S2-PS_Variated2_5,1,142.0,0,0,0,0,0
Building_T1-60x30-S2-PS_Variated3_1,1,157.0,0,0,0,0,0
Building_T1-60x30-S2-PS_Variated3_2,1,157.0,0.5375936878980891,0.0571985,0.0109702,0.121959,0.027333413480559468
Building_T1-60x30-S2-PS_Variated3_3,1,157.0,0.5967653210191083,0.0180109,0.00991452,0.1406,0.007720827053887961
Building_T1-60x30-S2-PS_Variated3_4,1,157.0,0.6030859477707007,0.0435323,0.0104297,0.111371,0.022457853474716894
